ID,公司,决定,时间UTC,thesis变化,模型变化,估值变化,置信度,原产物路径
12,basf,NO_CHANGE,2026-08-14T13:15:49+00:00,BASF-T2 receives mild scenario support but is not strengthened; BASF-T3 remains intact because Citi 2027 EBITDA stays about 16% below its own mid-cycle range and recovery is concentrated in Chemicals.,"Added Citi 2026-2028 group estimates, 2026-2027 divisional sales/EBITDA, official-guidance bridge and volume sensitivity to models/basf-model-v0.3-citi-2026-08-14.xlsx; no Dalton base-case forecast changed.",No change. Citi €58 target price is an external DCF anchor; 7.7x 2027E EV/EBITDA is already above its stated 7.3x five-year average.,medium,research-outputs/active-coverage/basf/2026-08-14-citi-consensus-volume-bridge.md
13,basf,NO_CHANGE,2026-08-14T14:14:49+00:00,BASF-T3获得方向性支持但仍为high；BASF-T2不变。供应扰动大概率是短期收益，但低水位持续时间和核心产品不可抗力边界仍待确认。,不更新。Barclays Materials -7%是单月价差年化mark-to-market，且缺能源、物流、销量、FX、合同滞后和内部转移价，不能机械写入Dalton季度预测。,不变；没有新的中期EBITDA、FCF、WACC、SOTP或倍数证据。,medium,research-outputs/active-coverage/basf/2026-08-14-barclays-q3-spreads-rhine.md
14,basf,NO_CHANGE,2026-08-16T15:18:07+00:00,BASF-T2不变；BASF-T3继续得到欧洲结构物流成本的方向性支持，但纪录低水位尚未传导为可验证的核心链产量或利润损失，置信度不再上调。,不更新models/basf-model-v0.3-citi-2026-08-14.xlsx；€27–89m仅为2018 earnings-impact历史口径代理情景，不能直接等同于EBITDA、EBIT或经营现金流。,不变；没有新的中期盈利、FCF、WACC、SOTP或倍数证据。,medium,research-outputs/active-coverage/basf/2026-08-16-rhine-record-low-company-event.md
15,wanhua,NO_CHANGE,2026-08-18T00:10:02+00:00,WH-T1不变(open/medium)；TDI重叠少产上限由1.51-1.66万吨修正为约1.0-1.3万吨(机械上限，非销量损失),无；不改年度销量/ASP/利润,无,medium,research-outputs/active-coverage/wanhua/2026-08-17-borsodchem-restart-verification.md
16,linde,NO_CHANGE,2026-08-19T12:22:07+00:00,backlog-to-EPS模型验证LIN-T2方向成立但2027E增量有限（基准档约0.18美元/股，占卖方2027E增量约9%）；LIN-T3风险强化；LIN-T4维持期权处理（Beaumont推迟至2027年初）,新增SOG backlog转化模型：20-50%转化率三档情景，满产EPS增量0.40-2.65美元；2026年13亿投产项目2027满年贡献0.06-0.43美元,无变化；约27x 2026E P/E下backlog短期可见增量不足以支撑估值扩张,medium,research-outputs/active-coverage/linde/sog-backlog-roic-v1.md
17,linde,NO_CHANGE,2026-08-19T23:06:49+00:00,"无变化:交易金额约$47.9K,占比极低,不触及任何falsifier,不调整confidence",无:Form 4不含量价本数据;股价$479.115仅作价格快照登记,无,high,research-outputs/active-coverage/linde/event-13-form4-2026-08-19.md
18,wanhua,NO_CHANGE,2026-08-20T12:21:56+00:00,WH-T2/WH-T3均不变；未验证石化转盈，也未触发falsifier。,不更新；无可审计的proxy到石化分部利润传导系数，且8月14-18日中间值缺失。,不变。,medium,research-outputs/active-coverage/industry/2026-08-20-nea-ethylene-naphtha-spread.md
19,basf,NO_CHANGE,2026-08-20T12:21:56+00:00,BASF-T2/BASF-T3均不变；BASF-T3仅获低置信度方向性支持。,不更新；缺Zhanjiang产品级负荷、内部转移、副产品信用、折旧和ROCE bridge。,不变。,medium,research-outputs/active-coverage/industry/2026-08-20-nea-ethylene-naphtha-spread.md
20,wanhua,NO_CHANGE,2026-08-20T13:13:23+00:00,WH-T2/WH-T3均不变；未验证石化转盈，也未触发falsifier。,不更新；单一间断区域报价没有到万华石化分部利润的可审计传导系数。,不变。,medium,research-outputs/active-coverage/industry/2026-08-20-japan-cfr-naphtha-jump.md
21,basf,NO_CHANGE,2026-08-20T13:13:23+00:00,BASF-T2/BASF-T3均不变；BASF-T3仅获低置信度方向性支持。,不更新；缺Zhanjiang实际原料配比、负荷、内部转移、副产品信用、折旧和ROCE bridge。,不变。,medium,research-outputs/active-coverage/industry/2026-08-20-japan-cfr-naphtha-jump.md
22,wanhua,NO_CHANGE,2026-08-20T14:21:18+00:00,WH-T1维持open/medium；只证明尝试使用区域报价权，未证明净价实现或利润率扩张。,无；敏感度不进入正式预测。,无。,medium,research-outputs/active-coverage/wanhua/2026-08-20-borsodchem-price-pass-through-check.md
23,wanhua,NO_CHANGE,2026-08-21T12:37:45+00:00,WH-T2/WH-T3均不变；一天修复既未验证石化转盈，也未触发falsifier。,不更新；两家公开源乙烯绝对水平相差250美元/吨，且无proxy到石化分部contribution margin的可审计系数。,不变。,medium,research-outputs/active-coverage/industry/2026-08-21-nea-ethylene-naphtha-spread-rebound.md
24,basf,NO_CHANGE,2026-08-21T12:37:45+00:00,BASF-T2/BASF-T3均不变；供给纪律的方向性支持不足以改变中国过剩与Zhanjiang项目回报待验证的判断。,不更新；缺Zhanjiang负荷、原料配比、内部转移、副产品信用、折旧和项目级ROCE bridge。,不变。,medium,research-outputs/active-coverage/industry/2026-08-21-nea-ethylene-naphtha-spread-rebound.md
25,basf,NO_CHANGE,2026-08-22T00:20:58+00:00,BASF-T3获方向性支持但置信度维持high；BASF-T2不变。更高TTF未证明成本永久化，长期采购和套保削弱短期传导。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；新增2026Q4/2027H1未套保和残余暴露情景底稿，不录入base case。,不改目标估值；按7.7x仅展示机械价值敏感度，25%-50%残余暴露下2027H1约-€0.49至-€1.20/股。,medium,research-outputs/active-coverage/basf/2026-08-21-eu-gas-cost-sensitivity.md
26,basf,NO_CHANGE,2026-08-22T01:11:17+00:00,BASF-T3获得Materials欧洲价差走弱的方向性支持但维持high；Chemicals现货改善及亚洲数据口径冲突使BASF-T2不变。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx。Figure 10机械敏感度仅记录为不可相加的情景，不录入base case。,不变；无可审计的中期EBITDA、FCF、WACC或分部估值更新。,medium,research-outputs/active-coverage/basf/2026-08-22-citi-week34-segment-spread-bridge.md
27,wanhua,NO_CHANGE,2026-08-23T00:43:48+00:00,WH-T1方向性支持但置信度不变；未达到出口量价连续三个月同升的确认阈值。WH-T2/WH-T3不变。,不修改models/wanhua-simple-model-final.xlsx；2026Q3E仍保持blank-gate。行业出口同比增量40%-70%归属敏感度仅作规模感，不是基准预测。,不变。,medium,research-outputs/active-coverage/wanhua/2026-08-22-july-export-data-analysis.md
28,wanhua,NO_CHANGE,2026-08-24T00:28:27+00:00,单周价差收窄是WH-T1短期反方证据，但未触发连续两个季度转弱的falsifier，置信度不变。,不修改2026Q3销量、ASP、原料份额、毛利率或归母利润；中泰公式未披露且本地proxy口径不一致。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-08-23-isocyanate-spread-validation.md
29,wanhua,NO_CHANGE,2026-08-24T12:36:01+00:00,WH-T2获低置信度方向性支持但confidence不变；WH-T3不变，两日行业proxy未验证未来两个报告期石化毛利或FCF。,不更新models/wanhua-simple-model-final.xlsx；无proxy到万华石化分部contribution margin的可审计系数。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-24-nea-ethylene-naphtha-spread-followup.md
30,basf,NO_CHANGE,2026-08-24T12:36:01+00:00,BASF-T2/BASF-T3均不变；供给纪律和局部乙烯外采需求提供方向性支持，但广泛终端需求未恢复。,不更新models/basf-model-v0.3-citi-2026-08-14.xlsx；缺Zhanjiang原料配比、负荷、内部转移、副产品信用、折旧和项目ROCE bridge。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-24-nea-ethylene-naphtha-spread-followup.md
31,basf,NO_CHANGE,2026-08-24T14:57:39+00:00,BASF-T2与BASF-T3不变：公司确认部分产品供应受限，但截至8月17日无重大集团业绩影响；水位短暂修复后仍可能再降。,不修改2026Q3分部盈利或现金流。Barclays 19.5kt/日为口径不一致的压力情景，修正后仍缺实际流量、库存和替代运输数据。,无可审计的中期EBITDA、FCF、ROCE或SOTP新证据，估值不变。,medium,research-outputs/active-coverage/basf/2026-08-24-rhine-force-majeure-logistics-update.md
32,wanhua,THESIS_STRENGTHENED,2026-08-25T00:37:47+00:00,WH-T2由low升至medium；WH-T1维持open/medium；WH-T3受到石化/新材料利润改善的反方证据，但Q2负FCF、短贷和资本承诺上升使其继续open/medium。,models/wanhua-simple-model-final.xlsx已将2026Q2E改为2026Q2A并写入合并量价利润和现金流实际；季度分部成本留空，外部券商预测未写入自有模型。旧版已归档。,Dalton不新增目标价；J.P. Morgan正式报告后FY26净利润仅约+1%微调、90元目标价不变。,high,research-outputs/active-coverage/wanhua/2026-08-24-2026h1-earnings-update.md
33,wanhua,NO_CHANGE,2026-08-25T12:31:07+00:00,WH-T1维持open/medium；正式公告提高复产事实置信度，但不改变现金利润优势判断。,无；四日满负荷机械少产上限0.712万吨，85%负荷0.605万吨；不进入Q3模型。,无,high,research-outputs/active-coverage/wanhua/2026-08-25-borsodchem-official-restart-validation.md
34,wanhua,NO_CHANGE,2026-08-26T00:19:56+00:00,WH-T1/WH-T2/WH-T3均不变；不对Event 24的H1分部证据重复升级。,无；卖方预测只进入consensus bridge，2026E-2028E及2026Q3E-2027Q4E forecast assumptions继续为空。,无；光大未披露目标价，J.P.Morgan 90元目标价不变。,high,research-outputs/active-coverage/wanhua/2026-08-25-ebs-consensus-revision-check.md
35,wanhua,NO_CHANGE,2026-08-26T12:58:48+00:00,WH-T2获低置信度方向性支持但confidence不变；WH-T3不变，一周行业proxy未触发falsifier。,不更新models/wanhua-simple-model-final.xlsx；无proxy到万华石化分部contribution margin的可审计系数。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-26-nea-ethylene-naphtha-spread.md
36,basf,NO_CHANGE,2026-08-26T12:58:48+00:00,BASF-T2/BASF-T3均不变；方向性支持不足以改变中国过剩与项目回报待验证的判断。,不更新models/basf-model-v0.3-citi-2026-08-14.xlsx；缺Zhanjiang原料配比、负荷、内部转移、副产品信用、折旧和项目ROCE bridge。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-26-nea-ethylene-naphtha-spread.md
37,basf,NO_CHANGE,2026-08-26T13:16:56+00:00,BASF-T2/BASF-T3不变；单日中国MEG期货代理不能改变中国过剩或湛江项目ROCE待验证的判断。,不更新models/basf-model-v0.3-citi-2026-08-14.xlsx；缺少EG0/现货到湛江EO/EG contribution margin的可审计系数。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-26-dce-meg-futures-pullback.md
38,wanhua,NO_CHANGE,2026-08-26T13:21:24+00:00,无；卖方预测未提供实际MDI价差、石化量价成本、FCF或ROIC验证。,无模型更新；保留forecast assumption blank gate。,无Dalton估值更新；华泰93.15元、J.P. Morgan90元、UBS126元方法不同，不能形成目标价共识。,medium,research-outputs/active-coverage/wanhua/2026-08-26-post-h1-consensus-valuation-check.md
39,linde,NO_CHANGE,2026-08-27T00:17:10+00:00,LIN-T2和LIN-T4维持open/medium；开工为方向性支持，不提高confidence。,无；超过4亿美元已在2025Q2进入backlog，不重复计入；未披露年度spend或2029年内gas-on月份。,无,high,research-outputs/active-coverage/linde/2026-08-26-blue-point-one-groundbreaking.md
40,basf,NO_CHANGE,2026-08-27T01:14:43+00:00,无；BASF-T1/T2/T3/T4均不变。,无；缺少可录入的新盈利预测和估值参数。,Dalton估值不变；仅外部目标价由€56升至€59。,low,research-outputs/active-coverage/basf/2026-08-26-kepler-target-price-review.md
41,wanhua,NO_CHANGE,2026-08-27T12:49:37+00:00,WH-T1维持open/medium，不强化也不削弱。,不改万华销量、ASP、利润或三表；缺公司实现价、8月出口和成本桥。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-27-tdi-rhine-t14-followup.md
42,basf,NO_CHANGE,2026-08-27T12:49:37+00:00,BASF-T2运营韧性与BASF-T3欧洲结构成本风险同时获证据，净判断不变。,不录入增量运费、损失销量或装置负荷。,无变化。,medium,research-outputs/active-coverage/industry/2026-08-27-tdi-rhine-t14-followup.md
43,wanhua,NO_CHANGE,2026-08-27T13:28:32+00:00,WH-T2/WH-T3不变；低油价压缩乙烷相对优势仅为方向性反方，尚未进入公司成本与分部毛利。,不修改models/wanhua-simple-model-final.xlsx。,不变。,medium,research-outputs/active-coverage/industry/2026-08-27-brent-risk-premium-unwind.md
44,basf,NO_CHANGE,2026-08-27T13:28:32+00:00,BASF-T2/BASF-T3不变；Brent回落尚未形成Zhanjiang或欧洲Verbund项目级净成本与利润传导。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx。,不变。,medium,research-outputs/active-coverage/industry/2026-08-27-brent-risk-premium-unwind.md
45,linde,NO_CHANGE,2026-08-27T13:28:32+00:00,LIN-T1不变；原油不是Linde合同能源传导、基础销量或剔除pass-through利润率的统一代理。,不修改模型或盈利预测。,不变。,medium,research-outputs/active-coverage/industry/2026-08-27-brent-risk-premium-unwind.md
46,wanhua,NO_CHANGE,2026-08-27T14:13:56+00:00,WH-T1/WH-T2/WH-T3均不变。,不修改models/wanhua-simple-model-final.xlsx；仅更新卖方横截面台账。,Dalton估值不变；国投96.21元、华泰93.15元、JPM90元和UBS126元方法与期限不同，不合并为目标价共识。,high,research-outputs/active-coverage/wanhua/2026-08-27-post-h1-consensus-wave-2.md
47,basf,NO_CHANGE,2026-08-28T00:11:47+00:00,BASF-T2与BASF-T3均不变：替代物流韧性并非无成本，持续低水位方向性支持欧洲结构成本风险，但未证明中周期利润或核心链生产变化。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；不录入物流成本、销量损失或EBITDA调整。,无变化；缺中期EBITDA、FCF、ROCE、信用成本或SOTP新证据。,medium,research-outputs/active-coverage/basf/2026-08-27-rhine-spokesperson-confirmation.md
48,basf,NO_CHANGE,2026-08-28T12:23:48+00:00,BASF-T2获得临时、事件驱动的相对供货韧性支持但不强化；BASF-T3不削弱，因结构成本与低利用率未改善，且其falsifier要求正常化后、非供应扰动驱动的连续改善。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；不录入销量、实现价、装置负荷、库存释放或EBITDA变化。,无变化；没有新的中期EBITDA、FCF、ROCE或分部估值证据。,medium,research-outputs/active-coverage/basf/2026-08-28-german-chem-ifo-special-cycle.md
49,wanhua,NO_CHANGE,2026-08-29T12:49:33+00:00,WH-T3获得方向性支持但维持open/medium；WH-T2维持open/medium。,2026-2028基准模型不新增项目capex、销量、毛利或ROIC；滨州与眉山各记16万吨名义产能，投产前不计有效供给。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-08-29-binzhou-lfp-project-validation.md
50,basf,NO_CHANGE,2026-08-30T03:10:53+00:00,BASF-T2仅获方向性韧性支持、不提高置信度；BASF-T3不变，短期天气改善不证伪欧洲结构成本判断。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；不录入增量销量、运费下降、装置负荷或EBITDA恢复。,不变；无新增中期EBITDA、FCF、ROCE、WACC或SOTP证据。,medium,research-outputs/active-coverage/basf/2026-08-29-rhine-near-glw-recovery-followup.md
51,basf,NO_CHANGE,2026-08-31T11:13:48+00:00,BASF-T1至T4均不变；已知回购、ifo改善和短时水位修复不重复提高confidence。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；不调整销量、价格、物流成本、EBITDA或现金流。,不变；无新增中期EBITDA、FCF、ROCE、WACC或SOTP参数。,high,research-outputs/active-coverage/basf/2026-08-31-price-move-data-quality-review.md
52,basf,NO_CHANGE,2026-08-31T12:45:31+00:00,"BASF-T3 receives directional support from low storage and constrained Gulf LNG, but remains open/high because the curve does not show a permanent reset and confidence is already high. BASF-T2 unchanged.","No change. Q3 direct exposure is limited because the front month is Oct-26; Q4/H1 mechanical sensitivities remain scenarios, not forecasts.","No change; no new realized cost, segment EBITDA, FCF, WACC or SOTP evidence.",medium,research-outputs/active-coverage/basf/2026-08-31-ttf-curve-gas-cost-update.md
53,basf,NO_CHANGE,2026-08-31T17:16:11+00:00,BASF-T1至T4均不变；板块轮动和例行回购不提高任何thesis置信度，TTF上涨仍是欧洲成本逆风。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；不调整销量、价格、成本、EBITDA或FCF。,不变；没有新的中期EBITDA、FCF、ROCE、WACC或SOTP参数。,high,research-outputs/active-coverage/basf/2026-08-31-price-move-close-review.md
54,basf,NO_CHANGE,2026-08-31T23:17:04+00:00,BASF-T1至T4均不变；股价反应只验证市场在交易行业特殊景气，不提高BASF-T2置信度，也不削弱BASF-T3。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；不调整销量、价格、负荷、库存、EBITDA或FCF。,不变；无新增中期EBITDA、FCF、ROCE、WACC或SOTP参数。,high,research-outputs/active-coverage/basf/2026-08-28-price-move-ifo-sector-beta.md
55,linde,NO_CHANGE,2026-09-01T01:16:26+00:00,LIN-T1至LIN-T4的status与confidence不变；相对收益改善仅构成LIN-T3的反方证据之一，未满足完整falsifier。,SOG backlog转化模型不变；没有新增项目级gas-on、capex或回报数据。,按2026-08-31收盘489.58美元更新：2026指引中值P/E约27.5倍；基础情景19.75美元EPS×25倍对应493.75美元，价格上行约0.9%。,medium,research-outputs/active-coverage/linde/2026-09-zero-base-review.md
56,basf,NO_CHANGE,2026-09-01T02:15:03+00:00,BASF-T1至T4完成月度复审，均维持open及原置信度；T3仍是最完整的结构风险框架。,不修改models/basf-model-v0.3-citi-2026-08-14.xlsx；没有可审计的新实现气价、项目ROCE、underlying FCF或分部利润证据可进入Dalton base case。,不新增Dalton目标价；8月31日€52.95相对Citi €58目标价仅约9.5%机械价格上行，外部目标价分歧不能替代自有估值桥。,high,research-outputs/active-coverage/basf/2026-09-zero-base-review.md
57,wanhua,NO_CHANGE,2026-09-01T05:19:04+00:00,WH-T1、WH-T2、WH-T3均保持open/medium；完成2026年9月月度复审。,不修改models/wanhua-simple-model-final.xlsx；预测假设继续blank gate，新增卖方样本只更新外部共识与估值桥。,2026-09-01盘中77.56元对应15份样本2026E/2027E中位数约12.9x/11.5x P/E；不建立Dalton目标价。,medium,research-outputs/active-coverage/wanhua/2026-09-zero-base-review.md
58,wanhua,NO_CHANGE,2026-09-01T12:37:55+00:00,乙烷路线相对经济性获低置信度方向性支持，但缺公司原料与项目传导，不改变confidence或falsifier。,不修改石化销量、ASP、单位成本、分部利润或集团盈利预测。,不变。,low,research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-naphtha-spread.md
59,basf,NO_CHANGE,2026-09-01T12:37:55+00:00,Zhanjiang仅获低置信度方向read-across；不能外推项目利润、ROCE或欧洲裂解经济性。,不修改Chemicals或Zhanjiang量价、利润和ROCE假设。,不变。,low,research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-naphtha-spread.md
60,wanhua,NO_CHANGE,2026-09-01T15:10:08+00:00,Event 43是Event 42同一生意社情报的反算乙烯腿，不新增独立证据；乙烷路线相对竞争力方向略正面，但缺实际到岸乙烷、原料配比、负荷和产品篮子。,不修改石化利润、集团盈利预测或模型行。,不变。,high,research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-price-event43.md
61,basf,NO_CHANGE,2026-09-01T15:10:09+00:00,Event 43是Event 42同一生意社情报的反算乙烯腿，只对Zhanjiang提供低置信度方向read-across；不能外推Ludwigshafen或项目ROCE。,不修改Zhanjiang或欧洲分部模型、集团盈利预测。,不变。,high,research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-price-event43.md
62,wanhua,NO_CHANGE,2026-09-01T16:11:57+00:00,EG主力连续代理显示近端供应/交割偏紧，但国内EG供给回升、聚酯需求走弱，且无万华实现价、原料、负荷或产品篮子传导；不改变WH-T2置信度或falsifier。,不修改石化销量、ASP、单位成本、分部利润、CFO或capex假设。,不变。,medium,research-outputs/active-coverage/industry/2026-09-01-dce-meg-price-event45.md
63,wanhua,NO_CHANGE,2026-09-01T19:09:16+00:00,Event 44是Events 42/43同一生意社情报的石脑油腿，不新增独立证据；石脑油成本上升对乙烷路线相对竞争力方向略正面，但缺实际到岸乙烷、原料配比、负荷和产品篮子。,不修改石化利润、集团盈利预测或模型行。,不变。,high,research-outputs/active-coverage/industry/2026-09-01-cfr-japan-naphtha-event44.md
64,basf,NO_CHANGE,2026-09-01T19:09:16+00:00,Event 44是Events 42/43同一生意社情报的石脑油腿，只对Zhanjiang提供低置信度方向read-across；不能外推Ludwigshafen或项目ROCE。,不修改Zhanjiang或欧洲分部模型、集团盈利预测。,不变。,high,research-outputs/active-coverage/industry/2026-09-01-cfr-japan-naphtha-event44.md
65,linde,NO_CHANGE,2026-09-01T20:16:12+00:00,约900bp利润率差支持LIN-T1的生产率标杆，但Air Liquide追赶和高利润率客户反作用构成反方证据；LIN-T3新增peer catch-up相对收益路径，未满足falsifier，confidence不变。,无；没有Linde量价、生产率、backlog、capex、ROC或指引新事实，不把同业利润率情景写入Linde模型。,无；新增可比估值监控。J.P. Morgan 2026E/2027E显示Linde EV/EBITDA溢价约26%/30%，P/E溢价约0%/3%，不机械转换为LIN折价。,medium,research-outputs/active-coverage/linde/2026-09-01-air-liquide-activist-read-across.md
66,basf,NO_CHANGE,2026-09-02T00:14:53+00:00,BASF-T3 receives additional directional support but remains open/high; BASF-T2 remains open/low. One subsequent trading day and non-company gas data do not justify a confidence or status change.,No change. Do not convert the ICE curve or J.P. Morgan system balance into Chemicals/Materials EBITDA or FCF without BASF realized cost and pass-through data.,"No change; no new BASF earnings, cash flow, WACC or SOTP input.",medium,research-outputs/active-coverage/basf/2026-09-01-eu-gas-demand-storage-update.md
67,wanhua,NO_CHANGE,2026-09-02T12:40:39+00:00,NO_CHANGE：价格与基差方向偏正面，但驱动为进口/库存冲击，不足以改变WH-T2置信度。,不修改models/wanhua-simple-model-final.xlsx或集团盈利预测。,不调整估值。,medium,research-outputs/active-coverage/industry/2026-09-02-dce-meg-price-event48.md
68,wanhua,NO_CHANGE,2026-09-03T00:28:22+00:00,WH-T1/WH-T2/WH-T3均无变化；指数调出不改变产品价格、成本、销量、FCF或项目ROIC。,不修改盈利预测或公司模型。,不修改合理倍数或目标价；仅记录一次性流动性折价风险。,medium,research-outputs/active-coverage/wanhua/2026-09-02-ftse-a50-exit-impact.md
69,basf,NO_CHANGE,2026-09-03T01:21:23+00:00,"BASF-T1/T2/T3 NO_CHANGE: existing-plan capex and completed modernization do not establish underlying FCF, European competitiveness or project ROCE","No model update; no verified incremental sales, EBITDA, depreciation, working capital or 2026 project cash-spend split",No valuation change,high,research-outputs/active-coverage/basf/2026-09-02-accf-modernization-startup.md
70,wanhua,NO_CHANGE,2026-09-03T12:40:34+00:00,原油与中国公开原料/产品传导不完整，WH-T1至T3不变。,不修改万华模型、盈利预测或估值。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md
71,basf,NO_CHANGE,2026-09-03T12:40:34+00:00,缺Zhanjiang实际原料、库存与产品传导，BASF-T1至T4不变。,不修改BASF模型、盈利预测或估值。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md
72,linde,NO_CHANGE,2026-09-03T12:40:34+00:00,原油不是Linde能源传导和基础销量的充分代理，LIN-T1至T4不变。,不修改Linde模型、盈利预测或估值。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md
73,wanhua,NO_CHANGE,2026-09-03T12:40:35+00:00,WTI同步上行确认风险重估跨基准，但没有公司利润bridge，WH-T1至T3不变。,不修改万华模型、盈利预测或估值。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md
74,basf,NO_CHANGE,2026-09-03T12:40:35+00:00,WTI同步上行不改变BASF实际能源和原料影响不可量化的结论，BASF-T1至T4不变。,不修改BASF模型、盈利预测或估值。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md
