ID,公司,任务类型,状态,到期时间,尝试次数,原输出路径,失败原因
55,,industry_driver_update,done,2026-09-01T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-09-01-dce-meg-price-event45.md,
56,linde,peer_read_across_analysis,done,2026-09-01T11:23:16+00:00,1,research-outputs/active-coverage/linde/2026-09-01-air-liquide-activist-read-across.md,
57,,coverage_data_quality,done,2026-09-01T13:00:00+00:00,1,research-outputs/active-coverage/industry/2026-09-01-signed-spread-collector-fix.md,
58,,coverage_data_quality,done,2026-09-02T11:15:00+00:00,1,research-outputs/active-coverage/industry/2026-09-02-industry-companion-event-coalescing.md,
59,linde,peer_read_across_analysis,ready,2026-10-06T12:00:00Z,0,,
60,basf,company_driver_update,done,2026-09-01T23:25:13+00:00,1,research-outputs/active-coverage/basf/2026-09-01-eu-gas-demand-storage-update.md,
61,,industry_driver_update,done,2026-09-02T11:10:06+00:00,1,research-outputs/active-coverage/industry/2026-09-02-dce-meg-price-event48.md,
62,linde,peer_read_across_analysis,failed,2026-09-02T22:07:43+00:00,3,,AlphaEngine Desktop status=no_module_page：第三次到期处理仍无法读取或下载 J.P. Morgan 全文 doc_id 320000610242584（public 模式同样返回 E_DESKTOP_NO_MODULE_PAGE）；公开检索未找到该报告正文。Event 49 payload 只有摘要与关键数字，缺少更新工业气体估值表、2%–3% EPS 修订基数及 €6bn 回购情景的净债务、现金流和估值假设，不能完成与 Event 46 的定量比较。未写报告、未新增 evidence/decision、未标记 Event 49 analyzed；Task 59 保留至 2026-10-05 CMD 后复核。
63,wanhua,index_rebalance_impact_analysis,done,2026-09-02T23:21:14+00:00,1,research-outputs/active-coverage/wanhua/2026-09-02-ftse-a50-exit-impact.md,
64,basf,project_roic_driver_update,done,2026-09-02T23:21:14+00:00,1,research-outputs/active-coverage/basf/2026-09-02-accf-modernization-startup.md,
65,wanhua,index_rebalance_post_effective_check,ready,2026-09-21T08:00:00+00:00,0,,
66,,industry_driver_update,done,2026-09-03T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md,
67,,industry_driver_update,done,2026-09-03T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md,
68,basf,sell_side_policy_catalyst_review,done,2026-09-03T11:20:14+00:00,2,research-outputs/active-coverage/basf/2026-09-03-citi-eu-protection-policy-scenario.md,
69,basf,policy_catalyst_followup,ready,2026-10-09T12:00:00+00:00,0,,
70,wanhua,capital_allocation_filing_review,done,2026-09-03T23:22:33+00:00,1,research-outputs/active-coverage/wanhua/2026-09-03-structured-deposit-maturity.md,
71,wanhua,industry_driver_update,done,2026-09-03T23:22:33+00:00,1,research-outputs/active-coverage/wanhua/2026-09-03-tosoh-mdi-maintenance-validation.md,
72,wanhua,industry_driver_update,ready,2026-09-17T12:00:00+00:00,0,,
73,linde,company_driver_update,done,2026-09-04T11:20:05+00:00,2,research-outputs/active-coverage/linde/2026-09-04-lincare-space-woodside-update.md,
74,wanhua,industry_driver_update,done,2026-09-04T23:21:02+00:00,1,research-outputs/active-coverage/wanhua/2026-09-04-gansu-yinguang-tdi-maintenance.md,
75,wanhua,industry_driver_update,done,2026-09-08T12:00:00+00:00,1,research-outputs/active-coverage/wanhua/2026-09-08-gansu-yinguang-tdi-post-start-check.md,
76,wanhua,capital_allocation_update,done,2026-09-06T11:21:37+00:00,1,research-outputs/active-coverage/wanhua/2026-09-06-interim-dividend-implementation.md,
77,wanhua,industry_driver_update,done,2026-09-06T11:21:37+00:00,1,research-outputs/active-coverage/wanhua/2026-09-06-benzene-mdi-driver-update.md,
78,basf,company_driver_update,done,2026-09-06T23:21:34+00:00,1,research-outputs/active-coverage/basf/2026-09-06-rhine-low-water-reversal.md,
79,basf,company_driver_followup,ready,2026-09-12T12:00:00Z,0,,
80,basf,industry_driver_update,done,2026-09-07T11:25:24+00:00,1,research-outputs/active-coverage/basf/2026-09-07-ms-spot-tracker-q3-bridge.md,
81,basf,company_driver_followup,done,2026-09-08T06:00:00Z,1,research-outputs/active-coverage/basf/2026-09-07-ttf-five-day-persistence.md,
82,wanhua,company_driver_validation,done,2026-09-07T23:22:45+00:00,1,research-outputs/active-coverage/wanhua/2026-09-07-pe-restart-validation.md,
83,wanhua,company_driver_validation,done,2026-09-08T11:23:44+00:00,1,research-outputs/active-coverage/wanhua/2026-09-08-covestro-tdi-guidance-validation.md,
84,wanhua,industry_driver_update,ready,2026-09-15T12:00:00Z,0,,
85,,industry_driver_update,done,2026-09-09T11:10:05+00:00,1,research-outputs/active-coverage/industry/2026-09-08-nea-ethylene-naphtha-rebound.md,
86,linde,valuation_positioning_review,done,2026-09-09T11:24:19+00:00,1,research-outputs/active-coverage/linde/2026-09-09-citi-crowding-valuation-review.md,
87,basf,project_commercialization_validation,done,2026-09-09T23:25:43+00:00,1,research-outputs/active-coverage/basf/2026-09-09-durasorb-cheniere-commercialization.md,
88,basf,project_commercialization_followup,ready,2028-01-15T12:00:00+00:00,0,,
