原相对路径,标题,字节数,SHA256,来源链接出现次数
research-outputs/active-coverage/basf/2026-08-27-rhine-spokesperson-confirmation.md,# BASF：莱茵低水位公司确认与至 10 月水文路径复核,10798,90c103f526a081ce38d2edbae81ab4fd3307d8abf7920e437161e235394b88ec,10
research-outputs/active-coverage/basf/2026-08-28-german-chem-ifo-special-cycle.md,# BASF：德国化工8月景气跳升的Q3量价映射,10451,47176d3a535d12ca05fa995a5f7c37822eadd85eeb9acbad9ec977db4bc4739f,7
research-outputs/active-coverage/basf/2026-08-28-price-move-ifo-sector-beta.md,# BASF 2026-08-28 股价异动复核（Event 41）,9158,ff95e917517d52f550c752f6508ce65f8d08e18493e2facdd9bfa6b930a021d0,9
research-outputs/active-coverage/basf/2026-08-29-rhine-near-glw-recovery-followup.md,# BASF：Kaub短暂回到GlW附近后的物流风险复核,7901,d2e56eb949832b15dfa21cb13e9a86b4469f0afcbfaff4bb789dd563b0226a5a,7
research-outputs/active-coverage/basf/2026-08-31-price-move-close-review.md,# BASF 2026-08-31 收盘异动复核（Event 40）,8158,ca4edaf69c43db222237ec446e66003fa889e1bbdd3e7922a62132cdb97ff62c,10
research-outputs/active-coverage/basf/2026-08-31-price-move-data-quality-review.md,# BASF 2026-08-31 股价异动复核,6495,624e5821658db8d30a812fc68e91f0b42b2e4cd3d743c9a53c6ea14b352a137b,8
research-outputs/active-coverage/basf/2026-08-31-ttf-curve-gas-cost-update.md,# BASF：TTF升破€70/MWh后的曲线、成本与Q3/Q4传导,12345,285fdab677ff5b2a6c7d9be0b6e967c33d035fdde5aaf68580dd67569fede0e6,9
research-outputs/active-coverage/basf/2026-09-01-eu-gas-demand-storage-update.md,# BASF：欧洲低储气、高TTF与需求响应,9934,ca47aa248596f3aa3a0bf1e441b05f78638b01c32c6ca2ff86662b8542209d7e,2
research-outputs/active-coverage/basf/2026-09-01-market-data-continuity-fix.md,# BAS.DE 行情连续性硬校验修复（Task 47）,4134,33e914550f801dc6070e5aa10e4111916003ed10ae6a1d26df93e526eff9a5a6,0
research-outputs/active-coverage/basf/2026-09-02-accf-modernization-startup.md,# BASF路德维希港ACCF现代化项目：已在原capex计划内，项目经济性仍未披露,5800,6df4d2a434cacfa7d7170dda8707c43eb60b6aee127f4b95c13a974fa2f004b8,7
research-outputs/active-coverage/basf/2026-09-03-citi-eu-protection-policy-scenario.md,# BASF：Citi 欧盟化工保护政策情景审计,13208,1c7cb90459814af1017a634868f2b555e454b10c389eec23ee2b2098058a242b,11
research-outputs/active-coverage/basf/2026-09-06-rhine-low-water-reversal.md,# BASF：Kaub水位重新降至33–34cm后的Q3物流风险复核,13477,2c31c2b1ecb9b4b8c5f176a7e74d277006e124b595d27680df114d5fc12b2bdd,13
research-outputs/active-coverage/basf/2026-09-07-ms-spot-tracker-q3-bridge.md,# BASF：Morgan Stanley 8月现货利润率、Q3桥与万华 read-across,16834,8d08296625f495e68687e2c265add00207df2e61b165c833ba80839cac06f75d,6
research-outputs/active-coverage/basf/2026-09-07-ttf-five-day-persistence.md,# BASF：TTF五个交易日持续性、卡塔尔LNG与欧洲库存复核,11071,5188462213fe9d6aa0d27e892b0d6a758a746fffad1b33a94d287ad72b66fbe8,4
research-outputs/active-coverage/basf/2026-09-09-durasorb-cheniere-commercialization.md,# BASF Durasorb LNG MAX × Cheniere Corpus Christi 商业化核验,10293,771f478cf2eadd0a3a6f19030c5faabd1352297d3266c1308e8eb6a89751af00,5
research-outputs/active-coverage/basf/2026-09-zero-base-review.md,# BASF：2026 年 9 月 zero-base review,8183,ad1a4301a5559150a7895824d4332768284f2aefb87990ac3bb8aabc664c490c,0
research-outputs/active-coverage/basf/deep-insights-v1.md,# BASF SE（BAS.DE）Deep Insight Gate v1,33105,375fd28ffd80ce210ed65a22cee228476859a2275e555ddbd5886d70a2a680ec,11
research-outputs/active-coverage/industry/2026-08-12-nea-ethylene-naphtha-spread.md,# 东北亚乙烯—石脑油粗价差：2026-08-12,8467,fe30a351892d4b6464703fcc8ee4ed724b2d0814b3a3a671e5f61d1d89be2bbf,4
research-outputs/active-coverage/industry/2026-08-13-tdi-rhine-supply-disruption.md,# TDI 供应收紧与莱茵河低水位：万华/BASF 事件分析,14037,d81462cf78d62ca9be8d50cbcb5022e320cc6ba67576d3f24b7209d7603d6554,13
research-outputs/active-coverage/industry/2026-08-14-nea-ethylene-naphtha-spread-followup.md,# 东北亚乙烯—石脑油粗价差跟踪：2026-08-13 数据,8405,6bee282b65c3ea1a2565675345573154e87c201d425123cd65713452d6aca60e,4
research-outputs/active-coverage/industry/2026-08-17-benzene-china-driver.md,# 中国纯苯基准价 +3.42%：驱动拆分与万华影响映射（2026-08-17）,7803,248b4d84c4015408f7f99f73211699e079cf114494ca970dfc2727c012564ea3,0
research-outputs/active-coverage/industry/2026-08-17-polymeric-mdi-benzene-spread-driver.md,# 聚合 MDI−0.77×纯苯粗价差 -4.90%：驱动拆分与万华影响映射（2026-08-17）,8552,3e684c50bdace69d833839bac2a1ad62d6594d4eb78f4f73dad4f19fc161839d,0
research-outputs/active-coverage/industry/2026-08-20-japan-cfr-naphtha-jump.md,# 日本 CFR 石脑油：2026-08-19 间断观测上涨复核,10049,7f6660d1dc89a7087df96b412a9eeb525b093a8616f4f0d2879c7300ef475c90,3
research-outputs/active-coverage/industry/2026-08-20-nea-ethylene-naphtha-spread.md,# 东北亚乙烯—石脑油粗价差：2026-08-19 数据复核,9676,6b0d6ea6ff2809bde406bd55660778ea11362a99cf4131ce3101d77ede3e275b,4
research-outputs/active-coverage/industry/2026-08-21-nea-ethylene-naphtha-spread-rebound.md,# 东北亚乙烯—石脑油粗价差：2026-08-20 单日修复复核,9365,a1f083931029230c6717e41d24ec0dd29f2935c796217981a688c24b69030177,5
research-outputs/active-coverage/industry/2026-08-24-nea-ethylene-naphtha-spread-followup.md,# 东北亚乙烯—石脑油粗价差：2026-08-21 连续修复复核,10002,3ddafe805b206acf0f0ecdc93b5a8d92b76c31f8f01f8d49ce1f7cf91f1ac489,2
research-outputs/active-coverage/industry/2026-08-26-dce-meg-futures-pullback.md,# 大连乙二醇主力连续回落：2026-08-26 驱动复核,7558,5699cb21fdb8c8aa845dfcd4301437f509c0555aeca0daa464b7158d154051e8,3
research-outputs/active-coverage/industry/2026-08-26-nea-ethylene-naphtha-spread.md,# 东北亚乙烯—石脑油粗价差：2026-08-25 连续修复复核,12276,0649a12ffeae6568414aae8aefa2c7beb3bc9b0b27ff0376cab801ecfcc844de,7
research-outputs/active-coverage/industry/2026-08-27-brent-risk-premium-unwind.md,# Brent 原油：霍尔木兹通航预期引发风险溢价回吐,9599,5206bf903acb6f4444ff2f064bde90421ca8322d0875aa1f575f21f2fff6b8e6,6
research-outputs/active-coverage/industry/2026-08-27-tdi-rhine-t14-followup.md,# TDI 供应与莱茵河 T+14 复核,11410,6cd3d8854244e6f7d10d541485e89207af7b45ef5ea78dfaaf5adcd9883656e7,10
research-outputs/active-coverage/industry/2026-09-01-cfr-japan-naphtha-event44.md,# 日本CFR石脑油价格复核：Event 44,6715,4d9a34a7f4be0ee7a91e9035f5419e86a17c333a8abb713dad1c81c4142861bf,2
research-outputs/active-coverage/industry/2026-09-01-dce-meg-price-event45.md,# DCE乙二醇主力连续结算上行：Event 45,6524,0570df2ce280e005314996c24e364197fec0241266d60761edd0e71575324cc0,3
research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-naphtha-spread.md,# 东北亚乙烯—石脑油价差复核：Event 42,7982,30b24a01359da10ec6da80f350b7c29d09bb5de6a0d7f9b5b49a2ffc18fdab3d,7
research-outputs/active-coverage/industry/2026-09-01-nea-ethylene-price-event43.md,# 东北亚乙烯价格复核：Event 43,5741,08d7ebba1a99d78ba908bfd4ed90f1df9b6c107ff108f6d42bcddd939d25b469,2
research-outputs/active-coverage/industry/2026-09-01-signed-spread-collector-fix.md,# Signed spread collector 修复：Task 57 / Event 42,4477,7f4a264347202c6633fe96c3d38476fe9617700ede0b2f38111068f0a61703a9,0
research-outputs/active-coverage/industry/2026-09-02-dce-meg-price-event48.md,# DCE乙二醇近月继续上行：Event 48,8997,6ce0ca539865b0363078c452996ed1b2b3cd57075b602dcebad49e40c32989cc,5
research-outputs/active-coverage/industry/2026-09-02-industry-companion-event-coalescing.md,# Industry companion event 合并修复：Task 58,4179,3660b2e383c0da19534fcd60b7002d72725535fcd191376ba904c59bc4cc233f,0
research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md,# Brent/WTI：霍尔木兹风险重新升温，但尚未形成公司利润 bridge,9059,35a06a7990eb62563f331f52d53fa680520dbcf52b12ed7e5ce673c0e06a9bb3,4
research-outputs/active-coverage/industry/2026-09-08-nea-ethylene-naphtha-rebound.md,# 东北亚乙烯—石脑油粗价差复核：2026-09-08,12509,bfcecf6ac55a76ab14554711733e2433cf68e19fabedb4ab6a8cce598cf61312,7
research-outputs/active-coverage/linde/2026-08-26-blue-point-one-groundbreaking.md,# Linde｜Blue Point One 开工里程碑复核,8243,f97c5dd5b95fcdcda9327492288227eba3f96ada1265211d3e037bcb75d30aee,6
research-outputs/active-coverage/linde/2026-09-01-air-liquide-activist-read-across.md,# Air Liquide激进股东与10月CMD：Linde同业映射,13312,5ab21148be7c22ca7414851b007ae3b1dfc11b4771a68a0beff9eea7ab72ffce,12
research-outputs/active-coverage/linde/2026-09-04-lincare-space-woodside-update.md,# Linde：Lincare、航天 SOP backlog 与 Beaumont New Ammonia 更新,13341,20d3d6ebebad6cf8617b68f701fc75974b96c1614589d55fa0d449add0884d18,7
research-outputs/active-coverage/linde/2026-09-09-citi-crowding-valuation-review.md,# Linde：Citi拥挤度下降与相对估值复核,10188,cbdb136ba31430bb81cea5821bc1b5c6cb121568c97522a2202fd9b53ca3a1db,0
research-outputs/active-coverage/linde/2026-09-zero-base-review.md,# Linde（NASDAQ: LIN）2026年9月 Zero-base Review,13855,02d8a48b6db9f1108171ba992cb9c1bca6e6e71ece0cf6be8355635e148af0fd,5
research-outputs/active-coverage/linde/deep-insights-v1.md,# Linde plc（NASDAQ: LIN）Deep Insight Gate v1,32823,978476b655db17dfd46840461dec57d9d9e3bdf626ace098c5927550716fec82,12
research-outputs/active-coverage/linde/event-13-form4-2026-08-19.md,# Linde — Event 13：Form 4 董事小额增持（2026-08-19 filing）,2518,e801b08f8c45e8dbd945a4d92b91f843f1334d3eff03df92c522309edab4f717,1
research-outputs/active-coverage/linde/sog-backlog-roic-v1.md,# Linde SOG Backlog 项目级 ROIC 模型 v1,18970,a786c306ac15a24ecff66c1529af786d410d769c8102c9dbb56feba6d9491b8e,15
research-outputs/active-coverage/reports/2026-08-12-daily.md,# Active Coverage 异常摘要｜2026-08-12,6553,4099719d38b0d59fdbc4020ec6c05827d857dce8659c1064d3dbc6060fa5ec5b,0
research-outputs/active-coverage/reports/2026-08-13-daily.md,# Active Coverage 异常摘要｜2026-08-13,4491,046a9fcdeb91b6bd2a3f6284a6598ac755391962b452660c0fb9b06ef540ff32,0
research-outputs/active-coverage/reports/2026-08-14-daily.md,# Active Coverage 日报｜2026-08-14,6303,dfacceb8e9fe732f23fc1641438c232f2db935a72127b49a9fd800cb0e6de398,0
research-outputs/active-coverage/reports/2026-08-16-weekly.md,# Weekly Coverage Pack｜2026-08-16,19206,2197f06ffdcec7cb24615564052181e437ce14c290b074fc2b9fbc4e5524f854,0
research-outputs/active-coverage/reports/2026-08-17-daily.md,# Daily Coverage Report — 2026-08-17,6732,580b76586127d3a7e79afdf2f2c4c7d4d1342f3ef9d4546483f9316d6ae433b6,0
research-outputs/active-coverage/reports/2026-08-19-daily.md,# Daily Coverage Report — 2026-08-19,3885,bcacb91539fdf89822c1d620c49daffbb6faff53b1246bf0ff64d5660b023275,0
research-outputs/active-coverage/reports/2026-08-20-daily.md,# Active Coverage 异常摘要｜2026-08-20,4633,f0328a9f2f03f4476e928030ecf097f80631230ecd49bfd20a540cf0b06a5b8c,5
research-outputs/active-coverage/reports/2026-08-21-daily.md,# Active Coverage 异常摘要｜2026-08-21,5271,e27b09e066b721b89d321c8c60089e99bc31be411001dd9863cc411665121b00,3
research-outputs/active-coverage/reports/2026-08-23-weekly.md,# Weekly Coverage Pack｜2026-08-23,18622,c97e1e1e41e0a085ea44caf34377c19fade6a00b96487436ab630d3b781a841a,0
research-outputs/active-coverage/reports/2026-08-24-daily.md,# Active Coverage 异常摘要｜2026-08-24,5905,95ff30bf8ab4d6d0031699211a9f30c881ebe0364a3b5b7cb63c3edaaff8fb44,0
research-outputs/active-coverage/reports/2026-08-25-daily.md,# Active Coverage 异常摘要｜2026-08-25,4410,ea3429344f0d594d10eebe12d5f7c3a252fb973a463e86143d3a3feac4ed6130,1
research-outputs/active-coverage/reports/2026-08-26-daily.md,# Active Coverage 日报｜2026-08-26,7826,016e3c15f72ab35eb8b46cffd943b8fc1ef35129f95413a45eab65456f7b3c8a,0
research-outputs/active-coverage/reports/2026-08-27-daily.md,# Active Coverage 日报｜2026-08-27,10294,182acbd43b98a5502ff9a811cb238b6f419004804a94c47fd88bc345ea7e2ac5,0
research-outputs/active-coverage/reports/2026-08-28-daily.md,# Active Coverage 日报｜2026-08-28,2816,c30046513023b54626ee7808031fe6d3bd2df4de1149959aa108154994f30abd,0
research-outputs/active-coverage/reports/2026-08-31-daily.md,# Active Coverage 异常摘要｜2026-08-31,4158,a15e3033075ef07dba0f0e2fd385e77bce1f249e092fb47c1cd695112e48fe05,0
research-outputs/active-coverage/reports/2026-08-31-weekly.md,# Weekly Coverage Pack｜截至 2026-08-31,13237,3da8715cb09f75a0448a4f3282db58720ab85b3ff2b2ce33b2ca5a9c3ecc1e99,0
research-outputs/active-coverage/reports/2026-09-01-daily.md,# Active Coverage 日报｜2026-09-01,6616,3cbdca39903e284817da71ac2eccd4f2b486773ddec12039aebaf50adc14248e,0
research-outputs/active-coverage/reports/2026-09-02-daily.md,# Active Coverage 异常摘要｜2026-09-02,3089,32a30ce1b0c6ebae82c71d403053b7d2e9ebd92187bce0f8fbfdf11719ab4863,0
research-outputs/active-coverage/reports/2026-09-03-daily.md,# Active Coverage 日报｜2026-09-03,7475,e67216e592a395c785cee6e599f3db94435b1e5f69808f8de12bd5c299c5c531,0
research-outputs/active-coverage/reports/2026-09-04-daily.md,# Active Coverage 日报｜2026-09-04,4666,b07c6e30cafddd8087992edab7ee27082417b93f8a3361fe492803b891acf5b8,4
research-outputs/active-coverage/reports/2026-09-06-weekly.md,# Weekly Coverage Pack｜截至 2026-09-06,21612,1d8b2e3dd9cc268edde714d349405220d74c028686e69cf729d7f1a98c6203fe,0
research-outputs/active-coverage/reports/2026-09-07-daily.md,# Active Coverage 日报｜2026-09-07,8709,a5d7604e6b7f5329b862ce44d784cb97f6da44edf6684e61437d3d26667d5cf6,2
research-outputs/active-coverage/reports/2026-09-08-daily.md,# Active Coverage 日报｜2026-09-08,4726,f5bc747547357f92a3ece4cd12edd9f7d486f0c6ab55ccff980bb4b73a5a243d,12
research-outputs/active-coverage/reports/2026-09-09-daily.md,# Active Coverage 日报｜2026-09-09,6016,105fd4927ad4b4e3e2e01acd107fb4c598ccae1155d3c55e5eb3ed2673cdeb25,0
research-outputs/active-coverage/wanhua/2026-08-11-tdi-turnaround-analysis.md,# 万华 30 万吨/年 TDI 检修：真实性、基地与影响,12428,b58e55b6ce57fcdace861e7605ba39d1f53623d942e0e5e9d3431b96b80c2155,7
research-outputs/active-coverage/wanhua/2026-08-17-borsodchem-restart-verification.md,# 匈牙利 BorsodChem MDI/TDI 复产核验 + 万华 TDI 一口价执行 + 欧洲 PU 平衡（2026-08-17）,14997,8b290cbd19ac9a4c2f5034b0d97ad2441beb0a33094a7dfaec4f59567b2d6744,0
research-outputs/active-coverage/wanhua/2026-08-20-borsodchem-price-pass-through-check.md,# BorsodChem 欧洲 MDI/TDI/多元醇调价传导核验（2026-08-20）,13247,a2ddda0db23193cf480f1e7e096c66716ed702ea2b609948f472b5fbdab999b2,9
research-outputs/active-coverage/wanhua/2026-08-22-july-export-data-analysis.md,# 万华化学：2026年7月 MDI/TDI 出口验证与 Q3 量价桥,9342,94e1261f8ebf4c2f1e84117b66e94cc779da1a08fcd80aad2cd539b1cf658c52,7
research-outputs/active-coverage/wanhua/2026-08-23-isocyanate-spread-validation.md,# 万华化学：异氰酸酯周度价差口径核验与 Q3 模型判断,8687,45c35761e9ca44ea9a88d7a12b2e8c31c07d8e51e5e87657a17a3759d35948c3,0
research-outputs/active-coverage/wanhua/2026-08-24-2026h1-earnings-update.md,# 万华化学 2026H1 / 2026Q2 财报更新,11812,7dc4bb888e1be408973aaa0231b5f5895ff21bcba6f6dde810d790bad38c8913,5
research-outputs/active-coverage/wanhua/2026-08-25-borsodchem-official-restart-validation.md,# BorsodChem MDI/TDI 正式复产确认与四日差异敏感度（2026-08-25）,7511,0e4e38da83e3c0f6376045bce5afeae7d5952d6771c29e8c615ef0a5d45d314d,4
research-outputs/active-coverage/wanhua/2026-08-25-ebs-consensus-revision-check.md,# 光大证券盈利预测上调与共识增量核验（2026-08-25）,8410,b55a159f16f4d7103706e58342d98e591ca254718987591455c968e4c50d556d,1
research-outputs/active-coverage/wanhua/2026-08-26-post-h1-consensus-valuation-check.md,# 万华化学：财报后新增卖方样本与估值桥复核,6798,56f839593ebda216df7ae0c6029985f72f3874ed69c54d408a93f033a7f14a73,0
research-outputs/active-coverage/wanhua/2026-08-27-post-h1-consensus-wave-2.md,# 万华化学：财报后第二批卖方样本与国投估值桥复核,6763,10b33c6d27b0178b3c0fd558658ddeec62578da01559c216abb4bca2d0a6dacb,0
research-outputs/active-coverage/wanhua/2026-08-29-binzhou-lfp-project-validation.md,# 万华滨州年产16万吨磷酸铁锂项目核验,11342,70877adaf0eb64bb5805dfec147737cd32d4d7180b02627485f3567451b4111d,12
research-outputs/active-coverage/wanhua/2026-09-02-ftse-a50-exit-impact.md,# 万华化学调出富时中国A50：被动卖出规模与流动性影响,9406,c84d01ee2fad7aadb1b265bf9f216b8b2d4deac9918e7976298a9383af1b482a,7
research-outputs/active-coverage/wanhua/2026-09-03-structured-deposit-maturity.md,# 万华化学20亿元结构性存款到期复核,8891,d9fae3c27af1593f963b80db0f762846bcaaf738cf84e2f0e889794b8ad9af8a,6
research-outputs/active-coverage/wanhua/2026-09-03-tosoh-mdi-maintenance-validation.md,# 东曹 Nanyo MDI 拟检修：Event 56 核验与万华影响,9847,0c1f1c1146c0d59332e89fbf39b364e72df2d976c2b8cd92b0a6653cab624c80,8
research-outputs/active-coverage/wanhua/2026-09-04-gansu-yinguang-tdi-maintenance.md,# 甘肃银光 TDI 检修提前：实际停车核验与万华传导,9409,8b47a47913a1e0ee969497ce398835292f0f36a3e7ca51daf7d4359280b77426,10
research-outputs/active-coverage/wanhua/2026-09-06-benzene-mdi-driver-update.md,# 万华化学：纯苯—MDI周度驱动核验,12585,fb5a5495e1102d1543e81f2ed99e7f2289078c21d0ba43cc1edbbe7bbacc2cde,4
research-outputs/active-coverage/wanhua/2026-09-06-interim-dividend-implementation.md,# 万华化学 2026年半年度权益分派实施核对,6997,a1f3270830bfbd75fc573b34d6ddf40a54d5a1404a889f9bf280602e5742dd9a,4
research-outputs/active-coverage/wanhua/2026-09-07-pe-restart-validation.md,# 万华化学：聚乙烯装置复产与利润桥核验,11522,51d7bca0ee1b1c7d0ca66446035db53d055369b9cd2de2deb965667830fedd89,8
research-outputs/active-coverage/wanhua/2026-09-08-covestro-tdi-guidance-validation.md,# 科思创上海 TDI 调价与限量供应核验,10351,bfe8f7a0e79eb6e106ff5b1b9e86ee24807768b1e0e1b34408896c5e60833a66,8
research-outputs/active-coverage/wanhua/2026-09-08-gansu-yinguang-tdi-post-start-check.md,# 甘肃银光 TDI 检修：计划日起第四日复核,10303,a1b645fd9b4a6188ebd6ad723b491419154793526e0199d966bd7b540e64c366,8
research-outputs/active-coverage/wanhua/2026-09-zero-base-review.md,# 万华化学（600309.SH）2026年9月 Zero-base Review,14611,7c8d3a082b5db7f30e59ac6a1b0a0a2e4be4ccfe9aa11226f2200990fd8665ac,0
research-outputs/active-coverage/wanhua/deep-insights-v1.md,# 万华化学（600309.SH）Deep Insight Gate v1,30421,106ffbd4a938f472683631aebcbf40f45cb00cf87527324726ed9993eac47556,17
research-outputs/consensus/wanhua-consensus-anchor.md,# 万华化学（600309.SH）Consensus 锚点台账,10680,294323227c1d880ccb242afc62899d13de22676801dcdd0177c66e9d2c051568,0
research-outputs/initial-screens/linde.md,# Linde plc（NASDAQ: LIN）Initial Screen,20062,372167052ea41c2200de1d251c81e71fac3b4044b0b66308b78fc9d26ff004b0,9
research-outputs/initial-screens/wanhua.md,# 万华化学（600309.SH）Initial Screen,21614,c6d02df047dddf86b259aaadfcc3eb28311e6cd05133d49027354238f670e654,11
wiki/README.md,# 化工行业 Wiki — Schema 与规范,1438,208c4e5af6335693bb5c224f7923f753e6f5da2726cdb999941eae7279a1e4f0,0
wiki/chains/_TEMPLATE.md,# {产品链名称}（如：聚氨酯链 — MDI/TDI）,1133,4d2ccf45b910783306f3638f20bfdbe67d6e0bc2766454168f43dba99597595e,0
wiki/chains/ethylene.md,# 乙烯链（Ethylene）,30229,50d9ea43ca381f461cdd44f65ecc47fa4a9c6d28752971599d2cc04045184e56,38
wiki/chains/polyurethane.md,# 聚氨酯链 — MDI/TDI,23895,a6eedd172e631cf3e4f0ce21bfc7f92b5e5c0ca6b22e7363138c6f77100c8332,23
wiki/companies/_TEMPLATE.md,# {公司名} ({ticker}),933,d76f4eed15073e41eb310950ad068f4e7cf5a3052dd4f1a7ddf784cec03964da,0
wiki/companies/basf-bas.md,# BASF SE（BAS.DE）,26150,8f438aab0bf0a93dd435ed5c20a73a198c41a7a6df76fd8d11c1c25e66d3fbbf,5
wiki/companies/linde-lin.md,# Linde plc（NASDAQ: LIN）,7744,35c494fd08794df669186718b1ccad126808b0d13e637cadd35b211eb2bc0e80,5
wiki/companies/wanhua-600309.md,# 万华化学（600309.SH）,15707,7e3b2eac9523ca33c52decc1cee28f257fed54379133cf5e8465fa582e48c29a,3
wiki/facts/2026-08-11-wanhua-tdi-turnaround.md,# Fact Card: 万华 30 万吨/年 TDI 装置据报进入约 45 天检修,1607,9f21e4daf324acca2c3cf2327b253661628cbd9e1890f0fd2e247978fc643428,3
wiki/facts/2026-08-12-basf-transformation.md,# Fact Card: BASF 转型已完成工程与组合里程碑，但项目回报和基础现金仍待验证,1392,135ab75e90defcbcb1d700e7d022a7fe6ed73ccdd83d1fbcf0d020d3070a1155,0
wiki/facts/2026-08-13-tdi-rhine-supply-disruption.md,# Fact Card: 科思创上海 TDI 限量与莱茵河低水位扰动欧洲聚氨酯物流,2575,5ac52359e087020ba147bff2a7fce768cd3545accf62ffdd84e6fe021474ee17,6
wiki/facts/2026-08-14-basf-barclays-q3-spreads-rhine.md,# Fact Card: BASF Q3 Chemicals 价差稳定、Materials 走弱，能源和莱茵物流未计入卖方模型,1942,190dd4c215cd7ab3f9c1639db3720b02d8e762562ac44f4e373b2cef82bcfaab,0
wiki/facts/2026-08-14-basf-citi-volume-sensitivity.md,# Fact Card: Citi 认为 BASF 2027 共识只需温和 underlying volume 恢复，但 Q2 基线含多项一次性因素,1598,8dcdddf675af225a4a902232ff02c433749a276f4af4e403c5bc638b2440ef05,0
wiki/facts/2026-08-14-nea-ethylene-naphtha-spread.md,# Fact Card: 东北亚乙烯—石脑油公开粗价差连续两日收窄,1145,1a41a89fb35875cfb5bb036aba304e3bf25684565c9d466c0f7ddee316962ddf,0
wiki/facts/2026-08-16-basf-rhine-record-low.md,# Fact Card: Kaub 6cm 令 BASF 物流尾部风险升级，但未确认核心链新增停产,3051,506b5b4f09f230b1e630552382da86e74ccdb5cf298f45248abd64e551a34023,4
wiki/facts/2026-08-20-nea-ethylene-naphtha-spread.md,# Fact Card: 东北亚乙烯—石脑油粗价差的间断基期回吐,1922,979544223d4ce71179b3cfdafceb4e177fef983db1a5f75abb5efd9403a9070c,0
wiki/facts/2026-08-21-basf-eu-gas-sensitivity.md,# Fact Card: Morgan Stanley 的 BASF 2027H1 TTF 预测应按季度读取，净能源暴露仍未披露,3808,80c2064da75e912cedd5a53e0a42697a17589526d8576ab2b407acf8d1cb7b9d,5
wiki/facts/2026-08-21-nea-ethylene-naphtha-spread-rebound.md,# Fact Card: 东北亚乙烯—石脑油粗价差单日修复,2400,2597615df29976456b7f84cbbef5034d5eee92fb38a8d66c105ba30a810003fa,4
wiki/facts/2026-08-22-basf-citi-week34-spread-bridge.md,# BASF：Citi 第34周区域价差与 Q3 分部桥,1494,abc0ba9fb9f9bf05fbbe0b5949323938c082fc7c6b56e8cfe3640b4d70076bad,0
wiki/facts/2026-08-22-china-mdi-tdi-july-exports.md,# 2026-08-22 中国7月聚合MDI/TDI出口,2112,cc6631a82850ad4e3a5a223c52366f4ec61c90eb18cc1c1a91dbe37857367067,3
wiki/facts/2026-08-23-wanhua-isocyanate-spread-compression.md,# 2026-08-23 万华异氰酸酯价差周度收窄,1939,8b21240d06f0b03f5653d0dbb68e1bdcc191cbcb033d4a0ad2c22181de9fadba,0
wiki/facts/2026-08-24-basf-rhine-logistics-update.md,# Fact Card: Kaub 水位回升但预计再降，BASF 选择性供应风险未传导至集团 Q3 模型,3623,5dae2e9908689b89f80b5d4ad362d5a1c43ae4184896c7b77eb2f3ed809b6416,5
